DATE,TIME,AM/PM,DATA
7/5/2019,4:00:00,PM,19.53
7/5/2019,4:15:00,PM,20.39
7/5/2019,4:30:00,PM,19.31
7/5/2019,4:45:00,PM,19.7
7/5/2019,5:00:00,PM,26.83
7/5/2019,5:15:00,PM,17.39
7/5/2019,5:30:00,PM,18.78
7/5/2019,5:45:00,PM,18.48
7/5/2019,6:00:00,PM,17.56
7/5/2019,6:15:00,PM,17.55
7/5/2019,6:30:00,PM,16.89
7/5/2019,6:45:00,PM,18.01
7/5/2019,7:00:00,PM,18.78
7/5/2019,7:15:00,PM,17.59
7/5/2019,7:30:00,PM,18.13
7/5/2019,7:45:00,PM,23.83
7/5/2019,8:00:00,PM,16.83
7/5/2019,8:15:00,PM,18.53
7/5/2019,8:30:00,PM,17.47
7/5/2019,8:45:00,PM,15.7
7/5/2019,9:00:00,PM,15.24
7/5/2019,9:15:00,PM,15.01
7/5/2019,9:30:00,PM,16.68
7/5/2019,9:45:00,PM,15.05
7/5/2019,10:00:00,PM,15.22
7/5/2019,10:15:00,PM,23.26
7/5/2019,10:30:00,PM,14.9
7/5/2019,10:45:00,PM,16.54
7/5/2019,11:00:00,PM,14.43
7/5/2019,11:15:00,PM,15.31
7/5/2019,11:30:00,PM,15.2
7/5/2019,11:45:00,PM,15.2
7/6/2019,12:00:00,AM,0
7/6/2019,12:15:00,AM,0
7/6/2019,12:30:00,AM,0
7/6/2019,12:45:00,AM,0
7/6/2019,1:00:00,AM,0
7/6/2019,1:15:00,AM,0
7/6/2019,1:30:00,AM,0
7/6/2019,1:45:00,AM,0
7/6/2019,2:00:00,AM,0
7/6/2019,2:15:00,AM,0
7/6/2019,2:30:00,AM,0
7/6/2019,2:45:00,AM,0
7/6/2019,3:00:00,AM,0
7/6/2019,3:15:00,AM,0
7/6/2019,3:30:00,AM,0
7/6/2019,3:45:00,AM,0
7/6/2019,4:00:00,AM,0
7/6/2019,4:15:00,AM,0
7/6/2019,4:30:00,AM,0
7/6/2019,4:45:00,AM,0
7/6/2019,5:00:00,AM,0
7/6/2019,5:15:00,AM,0
7/6/2019,5:30:00,AM,0
7/6/2019,5:45:00,AM,0
7/6/2019,6:00:00,AM,0
7/6/2019,6:15:00,AM,0
7/6/2019,6:30:00,AM,0
7/6/2019,6:45:00,AM,0
7/6/2019,7:00:00,AM,0
7/6/2019,7:15:00,AM,0
7/6/2019,7:30:00,AM,0
7/6/2019,7:45:00,AM,0
7/6/2019,8:00:00,AM,0
7/6/2019,8:15:00,AM,0
7/6/2019,8:30:00,AM,0
7/6/2019,8:45:00,AM,0
7/6/2019,9:00:00,AM,0
7/6/2019,9:15:00,AM,0
7/6/2019,9:30:00,AM,0
7/6/2019,9:45:00,AM,0
7/6/2019,10:00:00,AM,0
7/6/2019,10:15:00,AM,0
7/6/2019,10:30:00,AM,0
7/6/2019,10:45:00,AM,0
7/6/2019,11:00:00,AM,0
7/6/2019,11:15:00,AM,0
7/6/2019,11:30:00,AM,0
7/6/2019,11:45:00,AM,0
7/6/2019,12:00:00,PM,0
7/6/2019,12:15:00,PM,0
7/6/2019,12:30:00,PM,0
7/6/2019,12:45:00,PM,0
7/6/2019,1:00:00,PM,0
7/6/2019,1:15:00,PM,0
7/6/2019,1:30:00,PM,0
7/6/2019,1:45:00,PM,0
7/6/2019,2:00:00,PM,0
7/6/2019,2:15:00,PM,0
7/6/2019,2:30:00,PM,0
7/6/2019,2:45:00,PM,0
7/6/2019,3:00:00,PM,0
7/6/2019,3:15:00,PM,0
7/6/2019,3:30:00,PM,0
7/6/2019,3:45:00,PM,0
7/6/2019,4:00:00,PM,0
7/6/2019,4:15:00,PM,0
7/6/2019,4:30:00,PM,0
7/6/2019,4:45:00,PM,0
7/6/2019,5:00:00,PM,0
7/6/2019,5:15:00,PM,0
7/6/2019,5:30:00,PM,0
7/6/2019,5:45:00,PM,0
7/6/2019,6:00:00,PM,0
7/6/2019,6:15:00,PM,0
7/6/2019,6:30:00,PM,0
7/6/2019,6:45:00,PM,0
7/6/2019,7:00:00,PM,0
7/6/2019,7:15:00,PM,0
7/6/2019,7:30:00,PM,0
7/6/2019,7:45:00,PM,0
7/6/2019,8:00:00,PM,0
7/6/2019,8:15:00,PM,0
7/6/2019,8:30:00,PM,0
7/6/2019,8:45:00,PM,0
7/6/2019,9:00:00,PM,0
7/6/2019,9:15:00,PM,0
7/6/2019,9:30:00,PM,0
7/6/2019,9:45:00,PM,0
7/6/2019,10:00:00,PM,0
7/6/2019,10:15:00,PM,0
7/6/2019,10:30:00,PM,0
7/6/2019,10:45:00,PM,0
7/6/2019,11:00:00,PM,0
7/6/2019,11:15:00,PM,0
7/6/2019,11:30:00,PM,0
7/6/2019,11:45:00,PM,0
7/7/2019,12:00:00,AM,0
7/7/2019,12:15:00,AM,0
7/7/2019,12:30:00,AM,0
7/7/2019,12:45:00,AM,0
7/7/2019,1:00:00,AM,0
7/7/2019,1:15:00,AM,0
7/7/2019,1:30:00,AM,0
7/7/2019,1:45:00,AM,0
7/7/2019,2:00:00,AM,0
7/7/2019,2:15:00,AM,0
7/7/2019,2:30:00,AM,0
7/7/2019,2:45:00,AM,0
7/7/2019,3:00:00,AM,0
7/7/2019,3:15:00,AM,0
7/7/2019,3:30:00,AM,0
7/7/2019,3:45:00,AM,0
7/7/2019,4:00:00,AM,0
7/7/2019,4:15:00,AM,0
7/7/2019,4:30:00,AM,0
7/7/2019,4:45:00,AM,0
7/7/2019,5:00:00,AM,0
7/7/2019,5:15:00,AM,0
7/7/2019,5:30:00,AM,0
7/7/2019,5:45:00,AM,0
7/7/2019,6:00:00,AM,0
7/7/2019,6:15:00,AM,0
7/7/2019,6:30:00,AM,0
7/7/2019,6:45:00,AM,0
7/7/2019,7:00:00,AM,0
7/7/2019,7:15:00,AM,0
7/7/2019,7:30:00,AM,0
7/7/2019,7:45:00,AM,0
7/7/2019,8:00:00,AM,0
7/7/2019,8:15:00,AM,0
7/7/2019,8:30:00,AM,0
7/7/2019,8:45:00,AM,0
7/7/2019,9:00:00,AM,0
7/7/2019,9:15:00,AM,0
7/7/2019,9:30:00,AM,0
7/7/2019,9:45:00,AM,0
7/7/2019,10:00:00,AM,0
7/7/2019,10:15:00,AM,0
7/7/2019,10:30:00,AM,0
7/7/2019,10:45:00,AM,0
7/7/2019,11:00:00,AM,0
7/7/2019,11:15:00,AM,0
7/7/2019,11:30:00,AM,0
7/7/2019,11:45:00,AM,0
7/7/2019,12:00:00,PM,0
7/7/2019,12:15:00,PM,0
7/7/2019,12:30:00,PM,0
7/7/2019,12:45:00,PM,0
7/7/2019,1:00:00,PM,0
7/7/2019,1:15:00,PM,0
7/7/2019,1:30:00,PM,0
7/7/2019,1:45:00,PM,0
7/7/2019,2:00:00,PM,0
7/7/2019,2:15:00,PM,0
7/7/2019,2:30:00,PM,0
7/7/2019,2:45:00,PM,0
7/7/2019,3:00:00,PM,0
7/7/2019,3:15:00,PM,0
7/7/2019,3:30:00,PM,0
7/7/2019,3:45:00,PM,0
7/7/2019,4:00:00,PM,0
7/7/2019,4:15:00,PM,0
7/7/2019,4:30:00,PM,0
7/7/2019,4:45:00,PM,0
7/7/2019,5:00:00,PM,0
7/7/2019,5:15:00,PM,0
7/7/2019,5:30:00,PM,0
7/7/2019,5:45:00,PM,0
7/7/2019,6:00:00,PM,0
7/7/2019,6:15:00,PM,0
7/7/2019,6:30:00,PM,0
7/7/2019,6:45:00,PM,0
7/7/2019,7:00:00,PM,0
7/7/2019,7:15:00,PM,0
7/7/2019,7:30:00,PM,0
7/7/2019,7:45:00,PM,0
7/7/2019,8:00:00,PM,0
7/7/2019,8:15:00,PM,0
7/7/2019,8:30:00,PM,0
7/7/2019,8:45:00,PM,0
7/7/2019,9:00:00,PM,0
7/7/2019,9:15:00,PM,0
7/7/2019,9:30:00,PM,0
7/7/2019,9:45:00,PM,0
7/7/2019,10:00:00,PM,0
7/7/2019,10:15:00,PM,0
7/7/2019,10:30:00,PM,0
7/7/2019,10:45:00,PM,0
7/7/2019,11:00:00,PM,0
7/7/2019,11:15:00,PM,0
7/7/2019,11:30:00,PM,0
7/7/2019,11:45:00,PM,0
7/8/2019,12:00:00,AM,39.92
7/8/2019,12:15:00,AM,35.93
7/8/2019,12:30:00,AM,38.61
7/8/2019,12:45:00,AM,43.76
7/8/2019,1:00:00,AM,70.81
7/8/2019,1:15:00,AM,0.59
7/8/2019,1:30:00,AM,0.61
7/8/2019,1:45:00,AM,0.61
7/8/2019,2:00:00,AM,0.61
7/8/2019,2:15:00,AM,0.62
7/8/2019,2:30:00,AM,0.6
7/8/2019,2:45:00,AM,0.62
7/8/2019,3:00:00,AM,0.58
7/8/2019,3:15:00,AM,0.6
7/8/2019,3:30:00,AM,0.62
7/8/2019,3:45:00,AM,0.6
7/8/2019,4:00:00,AM,0.6
7/8/2019,4:15:00,AM,0.55
7/8/2019,4:30:00,AM,0.55
7/8/2019,4:45:00,AM,0.58
7/8/2019,5:00:00,AM,0.57
7/8/2019,5:15:00,AM,0.56
7/8/2019,5:30:00,AM,7.32
7/8/2019,5:45:00,AM,1.24
7/8/2019,6:00:00,AM,1.25
7/8/2019,6:15:00,AM,1.24
7/8/2019,6:30:00,AM,1.1
7/8/2019,6:45:00,AM,1.18
7/8/2019,7:00:00,AM,42.25
7/8/2019,7:15:00,AM,221.39
7/8/2019,7:30:00,AM,30.94
7/8/2019,7:45:00,AM,32.2
7/8/2019,8:00:00,AM,31.6
7/8/2019,8:15:00,AM,32.59
7/8/2019,8:30:00,AM,32.21
7/8/2019,8:45:00,AM,32.45
7/8/2019,9:00:00,AM,31.94
7/8/2019,9:15:00,AM,32.53
7/8/2019,9:30:00,AM,36.84
7/8/2019,9:45:00,AM,33.29
7/8/2019,10:00:00,AM,31.85
7/8/2019,10:15:00,AM,32.21
7/8/2019,10:30:00,AM,32.75
